,drugname,routeadmin,Notes,pain_med?,narcotic?,antiplatelet?,beta-blocker?,statin?,aspirin?,ace-inhibitor?
4396972,ipratropium bromide 0.02 % in soln,NEBULIZATION,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
609326,ipratropium-albuterol,Nebulization,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
175076,ipratropium-albuterol 0.5 mg-3 mg(2.5 mg base)/3 ml neb solution 3 ml vial,NEBULIZATION,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
622379,ipratropium-albuterol 0.5-2.5 (3) mg/3ml in soln,NEBULIZATION,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
1442121,ipratropium-albuterol 0.5-2.5 (3) mg/3ml in soln,Nebulization,Bronchodilator - treats breathing difficulties,no,no,no,no,no,no,no
3830315,isosorbide mononitrate er 30 mg po tb24,PO,Treats heart related chest pain,no,no,no,no,no,no,no
1436626,k phos mono-sod phos di & mono 155-852-130 mg po tabs,PO,Phosphorus supplement?,no,no,no,no,no,no,no
189177,k-dur,PO,Potassium supplement?,no,no,no,no,no,no,no
1097707,k-dur,Oral,Potassium supplement?,no,no,no,no,no,no,no
4121258,k-dur 20,PO,Potassium supplement?,no,no,no,no,no,no,no
3957949,kcl 10%,PO,Treatment for low blood potassium,no,no,no,no,no,no,no
6607386,kcl 20 meq/100ml sterile water bag,IV,Treatment for low blood potassium,no,no,no,no,no,no,no
5109302,kcl 20 meq/50 ml,INTRAVENOU,Treatment for low blood potassium,no,no,no,no,no,no,no
3036833,kcl 40 meq/100ml sterile water bag,IV,Treatment for low blood potassium,no,no,no,no,no,no,no
2488101,keppra,IV (intravenous)                                                                                    ,anticonvulsant,no,no,no,no,no,no,no
810300,ketorolac,IV,NSAID,yes,no,no,no,no,no,no
235251,ketorolac 30 mg/ml 1ml sdv inj,IV Push,NSAID,yes,no,no,no,no,no,no
45324,ketorolac inj,IV,NSAID,yes,no,no,no,no,no,no
2850487,ketorolac tromethamine,IV,NSAID,yes,no,no,no,no,no,no
4792224,klor-con,Oral,Treatment for low blood potassium,no,no,no,no,no,no,no
1046266,"klor-con,k-tab",Oral,Treatment for low blood potassium,no,no,no,no,no,no,no
4188988,labetalol,IV,beta-blocker,no,no,no,yes,no,no,no
4361570,labetalol,IntraVENOUS,beta-blocker,no,no,no,yes,no,no,no
292847,labetalol 5 mg/1ml 20ml mdv inj,IV Push,beta-blocker,no,no,no,yes,no,no,no
1904113,labetalol 5 mg/ml iv 20 ml vial,IV,beta-blocker,no,no,no,yes,no,no,no
2910537,labetalol hcl,IV,beta-blocker,no,no,no,yes,no,no,no
7193693,labetalol hcl 5 mg/ml iv soln,Intravenous,beta-blocker,no,no,no,yes,no,no,no
7193694,labetalol hcl 5 mg/ml iv soln (range) prn,Intravenous,beta-blocker,no,no,no,yes,no,no,no
4699646,"lactated ringer's 1,000 ml bag",IV,Electrolyte?,no,no,no,no,no,no,no
1538869,lactated ringers,INTRAVEN,Electrolyte?,no,no,no,no,no,no,no
2025753,lactated ringers,IV,Electrolyte?,no,no,no,no,no,no,no
5718359,lactated ringers 1000 ml lvp,IV,Electrolyte?,no,no,no,no,no,no,no
2386202,"lactated ringers injection 1,000 ml",IV,Electrolyte?,no,no,no,no,no,no,no
1046269,lactated ringers iv : 1000 ml bag,IV,Electrolyte?,no,no,no,no,no,no,no
5224488,lactated ringers iv soln,Intravenous,Electrolyte?,no,no,no,no,no,no,no
1504365,lactated ringers iv soln bolus,Intravenous,Electrolyte?,no,no,no,no,no,no,no
3390167,lactated ringers iv solp,IV,Electrolyte?,no,no,no,no,no,no,no
476602,lactulose,PO,Laxative?,no,no,no,no,no,no,no
3754783,lactulose,ORAL,Laxative?,no,no,no,no,no,no,no
4046068,lactulose 20 gram/30 ml ud liq,PO,Laxative?,no,no,no,no,no,no,no
5822115,lactulose 20 gram/30 ml ud liq,FT,Laxative?,no,no,no,no,no,no,no
4801856,lantus,subCUT,Diabetes medication,no,no,no,no,no,no,no
6842542,lantus,XX,Diabetes medication,no,no,no,no,no,no,no
189178,lasix,IV,Diuretic,no,no,no,no,no,no,no
424582,lasix,PO,Diuretic,no,no,no,no,no,no,no
978444,lasix,Oral,Diuretic,no,no,no,no,no,no,no
480848,levetiracetam,PER_TUBE,anticonvulsant,no,no,no,no,no,no,no
480856,levetiracetam,IV,anticonvulsant,no,no,no,no,no,no,no
802702,levetiracetam,ORAL,anticonvulsant,no,no,no,no,no,no,no
3071593,levetiracetam 500 mg po tabs,PO,anticonvulsant,no,no,no,no,no,no,no
3715836,levetiracetam 500 mg po tabs,Oral,anticonvulsant,no,no,no,no,no,no,no
5224432,levetiracetam 500 mg/5ml iv soln,Intravenous,anticonvulsant,no,no,no,no,no,no,no
5109280,levofloxacin,ORAL,Antibiotic,no,no,no,no,no,no,no
4429022,levofloxacin 500 mg po tabs,PO,Antibiotic,no,no,no,no,no,no,no
4015042,levofloxacin 500mg in d5w 100ml rt,IV,Antibiotic,no,no,no,no,no,no,no
4023295,levofloxacin 500mg in d5w 100ml rt,IVPB,Antibiotic,no,no,no,no,no,no,no
3998912,levofloxacin 750 mg in d5w 150ml,IVPB,Antibiotic,no,no,no,no,no,no,no
4020580,levofloxacin 750 mg in d5w 150ml,IV,Antibiotic,no,no,no,no,no,no,no
1631108,levofloxacin 750 mg po tabs,PO,Antibiotic,no,no,no,no,no,no,no
47486,levofloxacin in d5w 500 mg/100ml iv soln,IV,Antibiotic,no,no,no,no,no,no,no
3845840,levofloxacin in d5w 750 mg/150ml iv soln,IV,Antibiotic,no,no,no,no,no,no,no
625555,levothyroxine sodium 25 mcg po tabs,PO,Treatment for hypothyroidism,no,no,no,no,no,no,no
115988,levothyroxine sodium 75 mcg po tabs,PO,Treatment for hypothyroidism,no,no,no,no,no,no,no
6089141,lidocaine,IV,Antiarrhythmic and anesthetic,maybe,no,no,no,no,no,no
6410421,lidocaine,Intravenous,Antiarrhythmic and anesthetic,maybe,no,no,no,no,no,no
1538887,lidocaine 1%,INJECTION,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
3217091,lidocaine 1%,DEVICE,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
3766350,lidocaine 1%,SUBCUTAN,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
2043954,lidocaine 1% 10mg/ml 20ml mdv inj,IRR,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
2196882,lidocaine 1% 10mg/ml 20ml mdv inj,Transdermal,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
2316305,lidocaine 1% 10mg/ml 20ml mdv inj,IV,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
2320784,lidocaine 1% 10mg/ml 20ml mdv inj,IVPB,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
175084,lidocaine 10 mg/ml (1 %) injection 20 ml vial,IDrm,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
175085,lidocaine 10 mg/ml (1 %) injection 20 ml vial,INFILTRATION,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
49241,lidocaine 5 % ex ptch,TD,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
1504393,lidocaine hcl 1 % inj soln,Endotracheal,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
3688638,lidocaine hcl 1 % inj soln,Intradermal,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
4625560,lidocaine hcl 1%,INJ,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
4629467,lidocaine hcl 1%,.ROUTE,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
4665792,lidocaine hcl 1%,IV,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
4535401,lidocaine hcl 2%,IV,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
4632217,lidocaine hcl 2%,INJ,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
4661557,lidocaine hcl 2%,.ROUTE,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
3688637,lidocaine-transparent dressing 4 % external kit,Topical,Antiarrhythmic and anesthetic,yes,no,no,no,no,no,no
455710,lipitor,PO,Statin,no,no,no,no,yes,no,no
4758696,lipitor,Oral,Statin,no,no,no,no,yes,no,no
4795370,lipitor,NG Tube,Statin,no,no,no,no,yes,no,no
4121229,lisinopril,MISC,ACE inhibitor,no,no,no,no,no,no,yes
4121240,lisinopril,PO,ACE inhibitor,no,no,no,no,no,no,yes
4363713,lisinopril,Oral,ACE inhibitor,no,no,no,no,no,no,yes
4542014,lisinopril,ORAL,ACE inhibitor,no,no,no,no,no,no,yes
4647173,lisinopril,.ROUTE,ACE inhibitor,no,no,no,no,no,no,yes
3817571,lisinopril 10 mg po tabs,PO,ACE inhibitor,no,no,no,no,no,no,yes
5209525,lisinopril 10 mg po tabs,Oral,ACE inhibitor,no,no,no,no,no,no,yes
4060267,lisinopril 10 mg tab,PO,ACE inhibitor,no,no,no,no,no,no,yes
3817566,lisinopril 2.5 mg po tabs,PO,ACE inhibitor,no,no,no,no,no,no,yes
3889041,lisinopril 2.5 mg po tabs,PEG TUBE,ACE inhibitor,no,no,no,no,no,no,yes
4505140,lisinopril 2.5 mg po tabs,Oral,ACE inhibitor,no,no,no,no,no,no,yes
3836766,lisinopril 20 mg po tabs,PO,ACE inhibitor,no,no,no,no,no,no,yes
7193683,lisinopril 20 mg po tabs,Oral,ACE inhibitor,no,no,no,no,no,no,yes
5712322,lisinopril 20 mg tab,PO,ACE inhibitor,no,no,no,no,no,no,yes
11587,lisinopril 5 mg po tabs,PO,ACE inhibitor,no,no,no,no,no,no,yes
674096,lisinopril 5 mg po tabs,Oral,ACE inhibitor,no,no,no,no,no,no,yes
254285,lisinopril 5 mg tab,PO,ACE inhibitor,no,no,no,no,no,no,yes
2119333,lisinopril 5 mg tab,NG,ACE inhibitor,no,no,no,no,no,no,yes
3957950,lopressor,PO,beta-blocker,no,no,no,yes,no,no,no
3962068,lopressor,IV,beta-blocker,no,no,no,yes,no,no,no
4237830,lopressor,PO (oral)                                                                                           ,beta-blocker,no,no,no,yes,no,no,no
4238083,lopressor,IV (intravenous)                                                                                    ,beta-blocker,no,no,no,yes,no,no,no
4310801,lopressor,Per enteric tube (oral)                                                                             ,beta-blocker,no,no,no,yes,no,no,no
4759139,lopressor,Oral,beta-blocker,no,no,no,yes,no,no,no
3836596,loratadine 10 mg po tabs,PO,Antihistamine,no,no,no,no,no,no,no
474036,lorazepam,IV,Sedative,no,no,no,no,no,no,no
590264,lorazepam,Oral,Sedative,no,no,no,no,no,no,no
609319,lorazepam,IntraVENOUS,Sedative,no,no,no,no,no,no,no
1383285,lorazepam,INTRAVENOU,Sedative,no,no,no,no,no,no,no
3121966,lorazepam,DEVICE,Sedative,no,no,no,no,no,no,no
3615619,lorazepam,ZPYXVEND,Sedative,no,no,no,no,no,no,no
4535866,lorazepam,IM,Sedative,no,no,no,no,no,no,no
4535869,lorazepam,ORAL,Sedative,no,no,no,no,no,no,no
4655585,lorazepam,PO,Sedative,no,no,no,no,no,no,no
4699655,lorazepam,.ROUTE,Sedative,no,no,no,no,no,no,no
6117330,lorazepam (ativan) inj 1 mg,IV,Sedative,no,no,no,no,no,no,no
6154943,lorazepam (ativan) inj 1 mg,IV PUSH,Sedative,no,no,no,no,no,no,no
104580,lorazepam 0.5 mg po tabs,PER G TUBE,Sedative,no,no,no,no,no,no,no
642101,lorazepam 0.5 mg po tabs,PO,Sedative,no,no,no,no,no,no,no
2030688,lorazepam 0.5 mg tab,PO,Sedative,no,no,no,no,no,no,no
3836768,lorazepam 1 mg po tabs,PO,Sedative,no,no,no,no,no,no,no
2030679,lorazepam 1 mg tab,PO,Sedative,no,no,no,no,no,no,no
245347,lorazepam 2 mg/1 ml 1 ml inj,IV Push,Sedative,no,no,no,no,no,no,no
2052910,lorazepam 2 mg/1 ml 1 ml inj,INJ,Sedative,no,no,no,no,no,no,no
2141970,lorazepam 2 mg/1 ml 1 ml inj,IV,Sedative,no,no,no,no,no,no,no
4070587,lorazepam 2 mg/1 ml 1 ml syr,IV Push,Sedative,no,no,no,no,no,no,no
5676647,lorazepam 2 mg/1 ml 1 ml syr,IV,Sedative,no,no,no,no,no,no,no
4374792,lorazepam 2 mg/ml ij soln,IV,Sedative,no,no,no,no,no,no,no
1166027,lorazepam 2 mg/ml inj soln,IV,Sedative,no,no,no,no,no,no,no
1504382,lorazepam 2 mg/ml inj soln,Intravenous,Sedative,no,no,no,no,no,no,no
1127861,lorazepam 2 mg/ml injection solution,IV,Sedative,no,no,no,no,no,no,no
155194,lorazepam inj,.ROUTE,Sedative,no,no,no,no,no,no,no
1874438,lorazepam inj,IV,Sedative,no,no,no,no,no,no,no
3875192,losartan potassium 50 mg po tabs,PO,High blood pressure,no,no,no,no,no,no,no
3980135,lovenox,SUBQ,anticoagulant,no,no,no,no,no,no,no
4121255,lovenox,Subcut,anticoagulant,no,no,no,no,no,no,no
4237912,lovenox,Subcutaneous (Subcutane)                                                                            ,anticoagulant,no,no,no,no,no,no,no
4759140,lovenox,subCUT,anticoagulant,no,no,no,no,no,no,no
2495800,"lr 1,000 ml",IV,Electrolyte?,no,no,no,no,no,no,no
455711,maalox,PO,Antiacid?,no,no,no,no,no,no,no
4535861,mag/alum hydroxide w/simeth,ORAL,Antiacid,no,no,no,no,no,no,no
6249520,magnesium chloride,Oral,Treatment for low blood magnesium,no,no,no,no,no,no,no
780979,magnesium hydroxide,ORAL,Antiacid?,no,no,no,no,no,no,no
1883400,magnesium hydroxide,PO,Antiacid?,no,no,no,no,no,no,no
5146877,magnesium hydroxide 400 mg/5ml po susp,PO,Antiacid?,no,no,no,no,no,no,no
1310841,magnesium oxide,ORAL,Antiacid/helps migraines/helps constipation,no,no,no,no,no,no,no
1538876,magnesium oxide,ORAL/TUBE,Antiacid/helps migraines/helps constipation,no,no,no,no,no,no,no
1969737,magnesium oxide,PO,Antiacid/helps migraines/helps constipation,no,no,no,no,no,no,no
4404145,magnesium oxide 400 (241.3 mg) mg po tabs,PO,Antiacid/helps migraines/helps constipation,no,no,no,no,no,no,no
5683365,magnesium oxide 400 mg tab,PO,Antiacid/helps migraines/helps constipation,no,no,no,no,no,no,no
6382146,magnesium sulf 2 g in d5w 50ml premix,Intravenous,Relief for constipation,no,no,no,no,no,no,no
5051159,magnesium sulf 2 g/50 ml ns,INTRAVENOU,Relief for constipation,no,no,no,no,no,no,no
6607385,magnesium sulf 2 gm/sw 50 ml bag,IV,Relief for constipation,no,no,no,no,no,no,no
335532,magnesium sulfate,IVPB,Relief for constipation,no,no,no,no,no,no,no
489124,magnesium sulfate,IV,Relief for constipation,no,no,no,no,no,no,no
776352,magnesium sulfate,Intravenous,Relief for constipation,no,no,no,no,no,no,no
3549726,magnesium sulfate,INTRAVENOU,Relief for constipation,no,no,no,no,no,no,no
2531452,magnesium sulfate 1 g in d5w 100ml **locked dose,IVPB,Relief for constipation,no,no,no,no,no,no,no
42065,magnesium sulfate 2 g in ns premix,IV,Relief for constipation,no,no,no,no,no,no,no
280805,magnesium sulfate 2 gm/50 ml ivpb,IVPB,Relief for constipation,no,no,no,no,no,no,no
1021497,magnesium sulfate 2 gram/50 ml iv piggy back : 50 ml flex cont,IV,Relief for constipation,no,no,no,no,no,no,no
171401,magnesium sulfate 2 gram/50 ml iv piggy back 50 ml flex cont,IV,Relief for constipation,no,no,no,no,no,no,no
7174308,magnesium sulfate 2g/50ml sso,IV,Relief for constipation,no,no,no,no,no,no,no
1504354,magnesium sulfate 2g/sodium chloride 0.9% 100ml stock bag,Intravenous,Relief for constipation,no,no,no,no,no,no,no
1545506,magnesium sulfate 2gm/50ml,INTRAVEN,Relief for constipation,no,no,no,no,no,no,no
4862897,magnesium sulfate 4 gram/100 ml iv piggy back : 100 ml flex cont,IV,Relief for constipation,no,no,no,no,no,no,no
6935930,magnesium sulfate 4 meq/ml (50 %) inj soln,IV,Relief for constipation,no,no,no,no,no,no,no
1436613,magnesium sulfate 50 % ij soln,IV,Relief for constipation,no,no,no,no,no,no,no
6249525,magnesium sulfate in d5w,IntraVENOUS,Relief for constipation,no,no,no,no,no,no,no
1077850,magnesium sulfate in d5w 1 gram/100 ml iv piggy back : 100 ml,IV,Relief for constipation,no,no,no,no,no,no,no
6089094,magnesium sulfate ivpb,IVPB,Relief for constipation,no,no,no,no,no,no,no
4989645,magnesium sulfate ivpb d5w 1 g 100 ml,IV,Relief for constipation,no,no,no,no,no,no,no
6049407,magnesium sulfate ivpb.,IVPB,Relief for constipation,no,no,no,no,no,no,no
335533,magox 400,PO,Antiacid/helps migraines/helps constipation,no,no,no,no,no,no,no
255778,meperidine 25 mg/1 ml 1 ml syr,IV Push,opioid,yes,yes,no,no,no,no,no
2158454,meperidine 25 mg/1 ml 1 ml syr,IV,opioid,yes,yes,no,no,no,no,no
4665788,meperidine hcl,IV,opioid,yes,yes,no,no,no,no,no
7255706,meperidine hcl,INTRAVEN,opioid,yes,yes,no,no,no,no,no
1656944,meperidine range inj,IV,opioid,yes,yes,no,no,no,no,no
5462449,meropenem 1 g iv solr,IV,Antibiotic,no,no,no,no,no,no,no
5462440,meropenem 500 mg iv solr,IV,Antibiotic,no,no,no,no,no,no,no
2740297,metformin hcl 500 mg po tabs,PO,Diabetes medication?,no,no,no,no,no,no,no
232115,methylprednisolone 125 mg inj,IV,Steroid,no,no,no,no,no,no,no
264294,methylprednisolone 125 mg inj,IV Push,Steroid,no,no,no,no,no,no,no
4013116,methylprednisolone 40 mg inj,IV,Steroid,no,no,no,no,no,no,no
3615616,methylprednisolone sod suc(pf),ZPYXVEND,Steroid,no,no,no,no,no,no,no
902760,methylprednisolone sod succ,IV,Steroid,no,no,no,no,no,no,no
932566,methylprednisolone sod succ,.ROUTE,Steroid,no,no,no,no,no,no,no
1821638,methylprednisolone sodium succ 125 mg ij solr,IV,Steroid,no,no,no,no,no,no,no
55213,methylprednisolone sodium succ 40 mg ij solr,IV,Steroid,no,no,no,no,no,no,no
1383280,metoclopramide,INTRAVENOU,Treatment for GERD?,maybe,no,no,no,no,no,no
2488103,metoclopramide,IV,Treatment for GERD?,maybe,no,no,no,no,no,no
2857032,metoclopramide,ORAL,Treatment for GERD?,maybe,no,no,no,no,no,no
4253150,metoclopramide,PO,Treatment for GERD?,maybe,no,no,no,no,no,no
274323,metoclopramide 5 mg/1ml 2ml sdv inj,IV Push,Treatment for GERD?,maybe,no,no,no,no,no,no
2957340,metoclopramide hcl,IVP,Treatment for GERD?,maybe,no,no,no,no,no,no
1166029,metoclopramide hcl  5 mg/ml inj soln,IV,Treatment for GERD?,maybe,no,no,no,no,no,no
6319870,metoclopramide hcl 5 mg/ml ij soln,IV,Treatment for GERD?,maybe,no,no,no,no,no,no
160725,metoprolol,PO,beta-blocker,no,no,no,yes,no,no,no
779486,metoprolol,ORAL,beta-blocker,no,no,no,yes,no,no,no
1538882,metoprolol,INTRAVEN,beta-blocker,no,no,no,yes,no,no,no
2858636,metoprolol,IV,beta-blocker,no,no,no,yes,no,no,no
3217098,metoprolol,DEVICE,beta-blocker,no,no,no,yes,no,no,no
4121236,metoprolol,MISC,beta-blocker,no,no,no,yes,no,no,no
4345892,metoprolol,Oral,beta-blocker,no,no,no,yes,no,no,no
4265543,metoprolol (lopressor) tab 12.5 mg,PO,beta-blocker,no,no,no,yes,no,no,no
494185,metoprolol (lopressor) tab 25 mg,PO,beta-blocker,no,no,no,yes,no,no,no
538041,metoprolol (lopressor) tab 25 mg,NGT,beta-blocker,no,no,no,yes,no,no,no
240656,metoprolol 1 mg/ml 5ml sdv inj,IV Push,beta-blocker,no,no,no,yes,no,no,no
258604,metoprolol 1 mg/ml 5ml sdv inj,IV,beta-blocker,no,no,no,yes,no,no,no
148550,metoprolol inj,IV,beta-blocker,no,no,no,yes,no,no,no
148552,metoprolol inj,.ROUTE,beta-blocker,no,no,no,yes,no,no,no
936357,metoprolol succinate,PO,beta-blocker,no,no,no,yes,no,no,no
2437426,metoprolol succinate,PO (oral)                                                                                           ,beta-blocker,no,no,no,yes,no,no,no
2851069,metoprolol succinate,ORAL,beta-blocker,no,no,no,yes,no,no,no
29432,metoprolol succinate er 25 mg po tb24,PO,beta-blocker,no,no,no,yes,no,no,no
917890,metoprolol succinate er 50 mg po tb24,PO,beta-blocker,no,no,no,yes,no,no,no
773264,metoprolol tartrate,PO,beta-blocker,no,no,no,yes,no,no,no
875653,metoprolol tartrate,IV,beta-blocker,no,no,no,yes,no,no,no
887588,metoprolol tartrate,.ROUTE,beta-blocker,no,no,no,yes,no,no,no
1125355,metoprolol tartrate,ORAL,beta-blocker,no,no,no,yes,no,no,no
1290499,metoprolol tartrate,INTRAVENOU,beta-blocker,no,no,no,yes,no,no,no
4530327,metoprolol tartrate,Oral,beta-blocker,no,no,no,yes,no,no,no
4938016,metoprolol tartrate  25 mg oral tab,Oral,beta-blocker,no,no,no,yes,no,no,no
6140295,metoprolol tartrate (lopressor) inj 5 mg,IV PUSH,beta-blocker,no,no,no,yes,no,no,no
4416269,metoprolol tartrate 1 mg/ml iv soln,IV,beta-blocker,no,no,no,yes,no,no,no
5224450,metoprolol tartrate 1 mg/ml iv soln,Intravenous,beta-blocker,no,no,no,yes,no,no,no
621951,metoprolol tartrate 12.5 mg half tablet,PO,beta-blocker,no,no,no,yes,no,no,no
904,metoprolol tartrate 25 mg po tabs,PO,beta-blocker,no,no,no,yes,no,no,no
75697,metoprolol tartrate 25 mg po tabs,PEG TUBE,beta-blocker,no,no,no,yes,no,no,no
674098,metoprolol tartrate 25 mg po tabs,Oral,beta-blocker,no,no,no,yes,no,no,no
3993453,metoprolol tartrate 25 mg tab,PO,beta-blocker,no,no,no,yes,no,no,no
4027067,metoprolol tartrate 25 mg tab,NG,beta-blocker,no,no,no,yes,no,no,no
1115736,metoprolol tartrate 25 mg tablet,Oral,beta-blocker,no,no,no,yes,no,no,no
6979884,metoprolol tartrate 5 mg/5 ml iv soln,IV,beta-blocker,no,no,no,yes,no,no,no
910,metoprolol tartrate 50 mg po tabs,PO,beta-blocker,no,no,no,yes,no,no,no
104570,metoprolol tartrate 50 mg po tabs,PEG TUBE,beta-blocker,no,no,no,yes,no,no,no
1821625,metoprolol tartrate 50 mg po tabs,PER NG TUBE,beta-blocker,no,no,no,yes,no,no,no
231396,metoprolol tartrate 50 mg tab,PO,beta-blocker,no,no,no,yes,no,no,no
5109275,metronidazole,ORAL,Antibiotic,no,no,no,no,no,no,no
5735278,metronidazole 500 mg in 100ml rtu-pb,IVPB,Antibiotic,no,no,no,no,no,no,no
1383278,metronidazole 500 mg/100 ml,INTRAVENOU,Antibiotic,no,no,no,no,no,no,no
338447,midazolam,MISC,Sedative,no,no,no,no,no,no,no
476601,midazolam,IV,Sedative,no,no,no,no,no,no,no
1318629,midazolam,INTRAVENOU,Sedative,no,no,no,no,no,no,no
3217093,midazolam,DEVICE,Sedative,no,no,no,no,no,no,no
3566674,midazolam,ZPYXVEND,Sedative,no,no,no,no,no,no,no
5044577,midazolam,.ROUTE,Sedative,no,no,no,no,no,no,no
231405,midazolam (pf) 1 mg/1 ml 2 ml inj,IV Push,Sedative,no,no,no,no,no,no,no
261715,midazolam (pf) 1 mg/1 ml 2 ml inj,IV Sedation,Sedative,no,no,no,no,no,no,no
2141418,midazolam (pf) 1 mg/1 ml 2 ml inj,IV,Sedative,no,no,no,no,no,no,no
538034,midazolam (versed) 2 mg/2ml inj 1 mg,IV PUSH,Sedative,no,no,no,no,no,no,no
2620602,midazolam (versed) 2 mg/2ml inj 1 mg,IV,Sedative,no,no,no,no,no,no,no
501003,midazolam (versed) 2 mg/2ml inj 2 mg,IV PUSH,Sedative,no,no,no,no,no,no,no
4004911,midazolam 1 mg/1 ml 2ml mdv inj,IV Push,Sedative,no,no,no,no,no,no,no
4101644,midazolam 1 mg/1 ml 2ml mdv inj,IV Sedation,Sedative,no,no,no,no,no,no,no
5758671,midazolam 1 mg/1 ml 2ml mdv inj,IV,Sedative,no,no,no,no,no,no,no
3390163,midazolam 1 mg/ml inj soln,IV,Sedative,no,no,no,no,no,no,no
2046145,midazolam 100 mg in 100 ml ns,IV,Sedative,no,no,no,no,no,no,no
1318628,midazolam 100 mg/100 ml ns,INTRAVENOU,Sedative,no,no,no,no,no,no,no
3566673,midazolam 100 mg/100 ml ns,ZPYXVEND,Sedative,no,no,no,no,no,no,no
4625551,midazolam hcl,.ROUTE,Sedative,no,no,no,no,no,no,no
4632220,midazolam hcl,IV,Sedative,no,no,no,no,no,no,no
2763152,midazolam hcl 2 mg/2ml ij soln,IV,Sedative,no,no,no,no,no,no,no
5224463,midazolam hcl 2 mg/2ml inj soln (range) prn,Intravenous,Sedative,no,no,no,no,no,no,no
3922340,midazolam inj,IV,Sedative,no,no,no,no,no,no,no
3933078,midazolam inj,.ROUTE,Sedative,no,no,no,no,no,no,no
5462443,midodrine hcl 5 mg po tabs,PEG TUBE,Treats low blood pressure,no,no,no,no,no,no,no
416100,milk of magnesia,PO,Laxative/Antiacid,no,no,no,no,no,no,no
4801859,milk of magnesia,Oral,Laxative/Antiacid,no,no,no,no,no,no,no
2046192,milk of magnesia ud liq 30 ml,PO,Laxative/Antiacid,no,no,no,no,no,no,no
1015282,miralax,Oral,Laxative,no,no,no,no,no,no,no
1969744,miralax,PO,Laxative,no,no,no,no,no,no,no
193722,morphine,IV,opioid,yes,yes,no,no,no,no,no
372947,morphine,MISC,opioid,yes,yes,no,no,no,no,no
590263,morphine,IntraVENOUS,opioid,yes,yes,no,no,no,no,no
767279,morphine,Intravenous,opioid,yes,yes,no,no,no,no,no
1383317,morphine,INTRAVENOU,opioid,yes,yes,no,no,no,no,no
4542012,morphine,SC,opioid,yes,yes,no,no,no,no,no
2046168,morphine 10 mg/1 ml 1 ml syr,IV Push,opioid,yes,yes,no,no,no,no,no
6788708,morphine 10 mg/ml injection : 1 ml injection,IV,opioid,yes,yes,no,no,no,no,no
4005455,morphine 2 mg/1 ml 1 ml syr,IV Push,opioid,yes,yes,no,no,no,no,no
5676644,morphine 2 mg/1 ml 1 ml syr,IV,opioid,yes,yes,no,no,no,no,no
3254365,morphine 2 mg/ml syringe : 1 ml syringe,IV,opioid,yes,yes,no,no,no,no,no
1538873,morphine 2mg/ml,INTRAVEN,opioid,yes,yes,no,no,no,no,no
226992,morphine 4 mg/1 ml 1 ml syr,IV Push,opioid,yes,yes,no,no,no,no,no
324105,morphine 4 mg/1 ml 1 ml syr,IV,opioid,yes,yes,no,no,no,no,no
3248504,morphine 4 mg/ml syringe : 1 ml syringe,IV,opioid,yes,yes,no,no,no,no,no
4760710,morphine 5 mg/ml injection : 1 ml vial,IV,opioid,yes,yes,no,no,no,no,no
895,morphine inj,IV,opioid,yes,yes,no,no,no,no,no
155186,morphine inj,.ROUTE,opioid,yes,yes,no,no,no,no,no
1483752,morphine inj,IV PUSH,opioid,yes,yes,no,no,no,no,no
5552641,morphine injection orderable,IV,opioid,yes,yes,no,no,no,no,no
3957948,morphine sulfate,IV,opioid,yes,yes,no,no,no,no,no
4625559,morphine sulfate,.ROUTE,opioid,yes,yes,no,no,no,no,no
4699638,morphine sulfate,IVP,opioid,yes,yes,no,no,no,no,no
5154024,morphine sulfate (pf) 2 mg/ml iv soln,IV,opioid,yes,yes,no,no,no,no,no
6125649,morphine sulfate (pf) inj 2 mg,IV PUSH,opioid,yes,yes,no,no,no,no,no
621948,morphine sulfate 2 mg/ml ij soln,IV,opioid,yes,yes,no,no,no,no,no
547701,morphine sulfate 2 mg/ml ij/iv soln,IV,opioid,yes,yes,no,no,no,no,no
4965632,morphine variable dose 2-4mg,IV,opioid,yes,yes,no,no,no,no,no
